username, created_at, lng, lat, text
sheilajdeleo, Wed Jan 20 18:59:51 +0000 2021, -73.199118, 41.185674, @BethFitzgerald just got #TheWakeUpCall yesterday!  Love it!  Daily motivation is much needed! ⏰💛 https://t.co/91xJQq2ix5 
tmj_SFO_anesth, Wed Jan 20 18:59:51 +0000 2021, -122.065182, 37.910078, This job might be a great fit for you: Anesthesiology - Anesthesiologist - Pediatric - https://t.co/v5VsSlduRP… https://t.co/G8XL2hxZ1d 
camihenny, Wed Jan 20 18:59:51 +0000 2021, -122.228685, 37.791994, ??????? 
tahj__ivycarter, Wed Jan 20 18:59:51 +0000 2021, -78.748399, 42.907207, stop doing this?? 
TiffanyLeahMat2, Wed Jan 20 18:59:51 +0000 2021, -100.076888, 31.168893, @RobCerda ALWAYS and Forever 💙🤍Family https://t.co/37bqAc7Gae 
VinsonValega, Wed Jan 20 18:59:51 +0000 2021, -73.831187, 40.670879, @LoudenStudio 
bakerbyaccident, Wed Jan 20 18:59:51 +0000 2021, -122.023841, 37.378397, @TheSheaCat As if Chrissy even has money🤷🏻‍♀️ He’s living off his Dad’s credit. What a freaking joke this sad man is. 
jubree2, Wed Jan 20 18:59:51 +0000 2021, -119.782465, 36.786042, I’ve been laughing at this shit all morning 🤣😭😭 
thesophasauruss, Wed Jan 20 18:59:51 +0000 2021, -79.272570, 43.629311, @BlushAndBurbon Enjoy your rest day ❤️ 
mrsjmslade, Wed Jan 20 18:59:51 +0000 2021, -77.604684, 41.117936, @funder Who? 
ladym38017, Wed Jan 20 18:59:51 +0000 2021, -85.978600, 35.830522, TRUTH! 
zuleikaslaborin, Wed Jan 20 18:59:51 +0000 2021, -114.584753, 32.668218, Love love love !!! 
TomNovelly, Wed Jan 20 18:59:51 +0000 2021, -80.926628, 33.631140, U.S. Rep. Tom Rice, the lone GOP congressman from S.C. to vote in favor of Trump’s impeachment, was present at… https://t.co/qIFnnL9gmD 
